,Time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
69,0.352,-2.6605100716127402e-06,2.7799558116463224e-05,-1.338123139954261e-06,-1.8335674594226864e-05,-1.2515923421664047e-07,1.105848422380004e-06,8.141275499785693e-07,-1.4860341767590397e-06,2.4960858133242665e-05,-1.2347376564472674e-05,-8.282985335821752e-06
70,0.36,1.9552647049462006e-06,1.5152000992369239e-05,1.3241383160664428e-06,-2.0518515821276957e-05,-3.2562318971964975e-06,2.3638453807920436e-06,3.13588551436226e-06,7.96585416376866e-07,-1.362998816747024e-05,-5.365623961991296e-06,4.384258252039205e-06
71,0.368,5.877401694462012e-06,7.852857627143277e-06,2.9436303762546966e-06,-1.6874628338115613e-05,-4.634661572469543e-06,4.4936721068996745e-06,5.11597588379972e-06,3.8073914041731186e-06,-5.4091335381653916e-06,8.977709526852896e-06,2.5844912967631807e-07
72,0.376,3.9760897815757105e-06,3.2079327564779757e-06,1.274643367026071e-06,-1.6350772168547572e-05,-3.980200405213247e-06,3.075006128601723e-06,3.2639185382999326e-06,4.134955889763904e-06,1.0432694473781162e-05,1.1658283713156908e-05,-1.184693786725586e-06
73,0.384,1.575569278801538e-06,-3.8202978958818165e-06,-5.468917083526813e-07,-1.888438403141263e-05,-2.748588283131593e-06,-6.027273923247229e-07,-1.8407994986444806e-06,3.3507665255030425e-06,4.690710677070289e-06,9.761694296814863e-06,2.803624034654538e-06
74,0.392,1.1741916452809496e-06,-9.098896442387898e-06,-9.027330918833463e-07,-1.7007199609493067e-05,-1.895005227416475e-06,-3.3405441266864336e-06,-6.859200694796846e-06,3.19986668034855e-06,7.876541380519337e-06,1.4593324120184489e-05,8.965108530255437e-07
75,0.4,-6.855477287989467e-07,-1.2151261254708537e-05,-5.300793348782551e-07,-1.1772501571177825e-05,-1.2924659147980075e-06,-3.7021819577629336e-06,-7.572908673060803e-06,2.9495696781370868e-06,2.0268541005720718e-05,1.9304006134157927e-05,-2.2916481788396873e-06
76,0.408,-1.0956702656369546e-06,-1.807971309985284e-05,1.2422078238716266e-06,-1.071469859063375e-05,-1.0826313560919296e-06,-1.222329403984161e-06,-3.5197103180313583e-06,3.0420528677366674e-06,1.8584131001931112e-05,2.0870372881353685e-05,-1.9577269397564295e-06
77,0.416,2.110906059915469e-06,-2.4560402202497583e-05,2.2965334730018276e-06,-1.3806120239902875e-05,-1.471390138961623e-06,5.225722704807467e-07,-1.0917297092285176e-06,2.8238460280496066e-06,1.121881922630471e-05,2.199800066420764e-05,-9.936948706102929e-07
78,0.424,3.2080640626561754e-06,-2.630935192145068e-05,-1.6474203012653657e-07,-1.206968582163474e-05,-1.2771389171872344e-06,-2.26306428254204e-06,-4.669185270936294e-06,1.0499751938048511e-06,1.0388969215588522e-05,1.850777588316944e-05,1.4193529756994435e-06
79,0.432,2.5776496630345945e-06,-2.6238263961765106e-05,-1.2979740689368837e-06,-5.857590209100814e-06,-3.865834649346401e-08,-3.852954341366425e-06,-6.590073059752277e-06,1.0672579922913908e-06,1.211686337632993e-05,1.05628356026018e-05,2.965429346494478e-06
80,0.44,4.231195742619954e-06,-2.8394299083869283e-05,2.4528273762379276e-06,-8.119262177964539e-06,6.904616907389162e-07,6.559722505960863e-07,-9.546562090468613e-07,4.256280591138196e-06,1.6300374210512278e-05,4.561085506127027e-06,7.832470593371112e-07
81,0.448,2.991898904979108e-06,-3.0337973889101888e-05,4.353642228339428e-06,-1.517685555811787e-05,1.2007645651614105e-06,2.6520451069970257e-06,1.6873612686060354e-06,4.9312806176918176e-06,2.16892171561169e-05,1.8835027286806337e-07,5.758093913460089e-07
82,0.456,-1.2632797904281624e-06,-3.10720208764543e-05,1.3558169087219553e-06,-1.0018221915743353e-05,3.034587503996848e-06,-1.8918274006589062e-06,-3.872395214813473e-06,1.6735472372816635e-06,2.000119652071991e-05,-4.738258239618362e-06,3.0019424330641086e-06
83,0.464,5.591092313753935e-07,-3.3687216483804486e-05,-2.1533620683296216e-07,-3.2707858846345506e-06,4.121747896501007e-06,-2.6996946738914702e-06,-4.5477135538052615e-06,-1.2345472232202658e-08,1.2311560883655509e-05,-6.831533463247772e-06,2.7403262179972656e-06
84,0.472,4.957393505866027e-06,-3.643857952562884e-05,1.2120324427384075e-06,-1.2393542406865677e-05,2.4055617489532204e-06,1.3107996344941683e-06,1.2127132083302265e-06,1.1592417400871157e-06,1.0144723072012714e-05,-4.766966789954329e-06,3.1226062912653174e-06
85,0.48,3.372366090351628e-06,-3.6184876557707534e-05,2.576358809130037e-06,-1.8191783267362505e-05,7.624526204398466e-07,1.0151933919343943e-06,5.001836270878306e-07,3.1365108921747883e-06,1.645216485439842e-05,-3.4746891454218227e-06,6.773217876409658e-06
86,0.488,1.2917154403102232e-06,-3.7985239518105256e-05,4.252952139661839e-06,-7.860958864923703e-06,1.6181469942999863e-06,-5.604972515800861e-07,-2.3782125214823488e-06,5.736477361205771e-06,2.0090779520445913e-05,-7.097730359558636e-06,8.66682142884888e-06
87,0.496,1.6406806837008553e-06,-4.5289005965480645e-05,4.530318508386727e-06,-4.61732920115706e-06,3.445562593711231e-06,1.9666072910016443e-06,2.059396147412158e-06,6.93840487187138e-06,1.6255912266992473e-05,-1.223947866479031e-05,8.88671299003316e-06
